Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Бургеры;;;;;;Ккал;Белки;Жиры;Углеводы
Сяке маки;310,08;8,426;3,036;38,754;108;287,1111111;7,801851852;2,811111111;35,88333333
ТаджМахал;548,101;16,43;23,849;44,989;227;241,454185;7,237885463;10,5061674;19,81894273
Тамаго маки;304,101;5,151;2,646;37,494;102;298,1382353;5,05;2,594117647;36,75882353
Тамаку маки;524,474;13,866;22,02;45,648;234;224,134188;5,925641026;9,41025641;19,50769231
Текка маки;287,83;7,426;0,786;39,254;108;266,5092593;6,875925926;0,727777778;36,3462963
Террияки маки;468,082;18,448;12,871;46,774;197;237,6050761;9,364467005;6,533502538;23,74314721
Тобико скин маки;403,304;12,762;9,566;44,19;187;215,6705882;6,82459893;5,115508021;23,63101604
Токио;388,701;9,136;5,486;53,453;146;266,2335616;6,257534247;3,757534247;36,61164384
Томато маки;513,045;6,383;2,268;59,818;167;307,2125749;3,822155689;1,358083832;35,81916168
Тори маки;435,302;11,682;13,125;44,091;176;247,3306818;6,6375;7,457386364;25,05170455
Тори чакин маки;399,875;10,763;10,501;44,091;202;197,9579208;5,328217822;5,198514851;21,82722772
Тортилья овощная;500,663;9,547;20,683;48,071;151;331,5649007;6,322516556;13,69735099;31,83509934
Тортилья с грибами;640,875;14,461;18,3;85,552;205;312,6219512;7,054146341;8,926829268;41,73268293
Тортилья с копченым лососем;540,063;14,357;23,383;46,861;146;369,9061644;9,833561644;16,01575342;32,09657534
Тортилья с курицей;572,918;17,957;25,313;47,541;176;325,5215909;10,20284091;14,38238636;27,01193182
Тропикана;352,208;11,096;15,015;46,958;201;175,2278607;5,52039801;7,470149254;23,36218905
Унаги маки;375,226;6,944;2,19;59,235;151;248,4940397;4,598675497;1,450331126;39,22847682
Унаги чиз маки;385,549;7,52;8,908;46,015;174;221,5798851;4,32183908;5,11954023;26,4454023
Унаги чукка маки;511,689;12,61;13,529;51,013;222;230,4905405;5,68018018;6,094144144;22,97882883
Филадельфия блэк;590,002;16,411;24,623;10,344;228;258,772807;7,197807018;10,7995614;4,536842105
Филадельфия лава;732,571;27,772;37,59;52,237;292;250,8804795;9,510958904;12,87328767;17,88938356
Филадельфия лайт;399,172;11,769;11,378;39,335;142;281,1070423;8,288028169;8,012676056;27,70070423
Филадельфия люкс;625,16;18,03;19,834;72,222;235;266,0255319;7,672340426;8,44;30,73276596
Филадельфия с авокадо;462,4;11,413;10,618;58,692;182;254,0659341;6,270879121;5,834065934;32,24835165
Филадельфия с креветкой;516,748;23,067;14,106;52,267;226;228,6495575;10,20663717;6,24159292;23,12699115
Филадельфия с луком;461,044;11,445;10,422;58,746;176;261,9568182;6,502840909;5,921590909;33,37840909
Филадельфия с огурцом;461,69;11,463;10,428;58,988;182;253,6758242;6,298351648;5,72967033;32,41098901
Филадельфия с угрем;563,583;12,876;16,53;68,68;202;279,0014851;6,374257426;8,183168317;34
Филадельфия спайс;531,068;19,466;17,687;51,296;228;232,9245614;8,537719298;7,75745614;22,49824561
Филадельфия суприм;523,262;19,187;16,323;52,649;228;229,5008772;8,415350877;7,159210526;23,09166667
Филадельфия томато;516,726;19,108;16,284;51,169;228;226,6342105;8,380701754;7,142105263;22,44254386
Филадельфия фьюжн;458,084;12,981;14,345;45,668;187;244,9647059;6,94171123;7,671122995;24,42139037
Филадельфия;576,414;20,404;19,229;59,068;228;252,8131579;8,949122807;8,43377193;25,90701754
Фри маки;398,427;6,632;7,998;52,623;182;218,9159341;3,643956044;4,394505495;28,91373626
Цезарь;317,465;10,669;6,242;59,233;187;169,7673797;5,705347594;3,337967914;31,67540107
Цунами;467,722;9,033;9,602;68,424;187;250,1187166;4,830481283;5,134759358;36,59037433
Чакин икура маки;537,49;13,313;12,998;64,426;175;307,1371429;7,607428571;7,427428571;36,81485714
Чукка ролл;169,061;2,81;0,625;33,604;102;165,7460784;2,754901961;0,612745098;32,94509804
Шахматы;418,422;10,148;10,192;48,671;191;219,0691099;5,313089005;5,336125654;25,48219895
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Суши;;;;;;Ккал;Белки;Жиры;Углеводы
Каеси гункан;69,39;2,641;3,036;8,473;31;223,8387097;8,519354839;9,793548387;27,33225806
Магуро суши;38,221;2,616;0,306;6,274;29;131,7965517;9,020689655;1,055172414;21,63448276
Суши с гребешком;34,75;2,564;0,059;6,464;29;119,8275862;8,84137931;0,203448276;22,28965517
Сяке Икура суши;80,928;5,774;4,176;5,556;43;188,2046512;13,42790698;9,711627907;12,92093023
Сяке каппа суши;66,512;2,542;3,858;5,948;40;166,28;6,355;9,645;14,87
Сяке суши;52,913;3,209;1,482;7,231;29;182,4586207;11,06551724;5,110344828;24,93448276
Туна каппа суши;65,064;2,306;2,973;7,973;40;162,66;5,765;7,4325;19,9325
Унаги суши;64,084;2,433;1,535;10,235;32;200,2625;7,603125;4,796875;31,984375
Чукка гункан;59,82;0,653;0,443;7,749;31;192,9677419;2,106451613;1,429032258;24,99677419
Эби каппа суши;64,964;2,626;2,833;7,773;40;162,41;6,565;7,0825;19,4325
Эби суши;42,199;3,129;0,133;7,203;29;145,5137931;10,78965517;0,45862069;24,83793103
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Сеты;;;;;;Ккал;Белки;Жиры;Углеводы
Вдохновение;6069,898;175,519;158,201;973,125;2620;231,6754962;6,699198473;6,038206107;37,14217557
Гурман;2235,444;70,738;101,326;313,805;1035;215,9849275;6,834589372;9,789951691;30,31932367
Изобилие;5197,166;143,118;135,965;823,44;2450;212,1292245;5,84155102;5,549591837;33,60979592
